Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
17029,,Spot,1,Image 1,7,1000000000,0
30564,,Spot,1,Image 1,10,1000000000,1
30343,,Spot,1,Image 1,11,1000000000,2
32047,,Spot,1,Image 1,12,1000000000,3
23914,,Spot,1,Image 1,13,1000000000,4
19601,,Spot,1,Image 1,14,1000000000,5
25257,,Spot,1,Image 1,15,1000000000,6
27347,,Spot,1,Image 1,16,1000000000,7
29599,,Spot,1,Image 1,17,1000000000,8
25300,,Spot,1,Image 1,18,1000000000,9
26856,,Spot,1,Image 1,19,1000000000,10
23456,,Spot,1,Image 1,20,1000000000,11
28499,,Spot,1,Image 1,21,1000000000,12
30178,,Spot,1,Image 1,22,1000000000,13
27168,,Spot,1,Image 1,23,1000000000,14
24962,,Spot,1,Image 1,24,1000000000,15
22981,,Spot,1,Image 1,25,1000000000,16
33827,,Spot,1,Image 1,26,1000000000,17
34343,,Spot,1,Image 1,27,1000000000,18
30943,,Spot,1,Image 1,28,1000000000,19
29925,,Spot,1,Image 1,29,1000000000,20
35417,,Spot,1,Image 1,30,1000000000,21
37398,,Spot,1,Image 1,31,1000000000,22
34409,,Spot,1,Image 1,32,1000000000,23
45756,,Spot,1,Image 1,33,1000000000,24
33156,,Spot,1,Image 1,34,1000000000,25
33479,,Spot,1,Image 1,35,1000000000,26
30937,,Spot,1,Image 1,36,1000000000,27
25363,,Spot,1,Image 1,37,1000000000,28
34484,,Spot,1,Image 1,38,1000000000,29
32259,,Spot,1,Image 1,39,1000000000,30
29583,,Spot,1,Image 1,40,1000000000,31
30360,,Spot,1,Image 1,41,1000000000,32
30591,,Spot,1,Image 1,42,1000000000,33
28514,,Spot,1,Image 1,43,1000000000,34
26016,,Spot,1,Image 1,44,1000000000,35
18568,,Spot,1,Image 1,45,1000000000,36
24992,,Spot,1,Image 1,46,1000000000,37
29705,,Spot,1,Image 1,47,1000000000,38
20952,,Spot,1,Image 1,48,1000000000,39
22654,,Spot,1,Image 1,49,1000000000,40
26447,,Spot,1,Image 1,50,1000000000,41
18649,,Spot,1,Image 1,51,1000000000,42
23865,,Spot,1,Image 1,52,1000000000,43
27242,,Spot,1,Image 1,53,1000000000,44
18618,,Spot,1,Image 1,54,1000000000,45
27826,,Spot,1,Image 1,55,1000000000,46
22056,,Spot,1,Image 1,56,1000000000,47
19737,,Spot,1,Image 1,57,1000000000,48
24140,,Spot,1,Image 1,58,1000000000,49
23591,,Spot,1,Image 1,59,1000000000,50
25217,,Spot,1,Image 1,60,1000000000,51
23255,,Spot,1,Image 1,61,1000000000,52
24050,,Spot,1,Image 1,62,1000000000,53
27699,,Spot,1,Image 1,63,1000000000,54
17813,,Spot,1,Image 1,64,1000000001,55
18928,,Spot,1,Image 1,64,1000000000,56
25519,,Spot,1,Image 1,65,1000000001,57
21915,,Spot,1,Image 1,65,1000000000,58
26595,,Spot,1,Image 1,66,1000000001,59
20771,,Spot,1,Image 1,66,1000000000,60
29826,,Spot,1,Image 1,67,1000000001,61
22622,,Spot,1,Image 1,67,1000000000,62
22996,,Spot,1,Image 1,68,1000000001,63
23584,,Spot,1,Image 1,68,1000000000,64
18578,,Spot,1,Image 1,69,1000000001,65
25464,,Spot,1,Image 1,69,1000000000,66
20351,,Spot,1,Image 1,70,1000000001,67
24173,,Spot,1,Image 1,70,1000000002,68
17828,,Spot,1,Image 1,71,1000000001,69
23978,,Spot,1,Image 1,71,1000000002,70
18043,,Spot,1,Image 1,71,1000000000,71
18898,,Spot,1,Image 1,72,1000000001,72
20740,,Spot,1,Image 1,72,1000000002,73
23327,,Spot,1,Image 1,72,1000000000,74
18082,,Spot,1,Image 1,73,1000000001,75
22164,,Spot,1,Image 1,73,1000000002,76
19756,,Spot,1,Image 1,73,1000000000,77
15107,,Spot,1,Image 1,74,1000000001,78
21347,,Spot,1,Image 1,74,1000000002,79
20982,,Spot,1,Image 1,74,1000000000,80
17600,,Spot,1,Image 1,75,1000000002,81
19120,,Spot,1,Image 1,75,1000000001,82
19460,,Spot,1,Image 1,75,1000000000,83
22214,,Spot,1,Image 1,76,1000000002,84
16431,,Spot,1,Image 1,76,1000000001,85
18054,,Spot,1,Image 1,76,1000000000,86
19206,,Spot,1,Image 1,77,1000000002,87
20758,,Spot,1,Image 1,77,1000000001,88
19774,,Spot,1,Image 1,78,1000000001,89
22357,,Spot,1,Image 1,78,1000000000,90
22561,,Spot,1,Image 1,78,1000000002,91
18135,,Spot,1,Image 1,79,1000000001,92
19618,,Spot,1,Image 1,79,1000000000,93
19367,,Spot,1,Image 1,79,1000000002,94
20375,,Spot,1,Image 1,80,1000000001,95
19175,,Spot,1,Image 1,80,1000000000,96
25163,,Spot,1,Image 1,80,1000000002,97
17881,,Spot,1,Image 1,81,1000000001,98
23143,,Spot,1,Image 1,81,1000000002,99
19925,,Spot,1,Image 1,81,1000000000,100
16899,,Spot,1,Image 1,82,1000000001,101
19576,,Spot,1,Image 1,82,1000000000,102
19702,,Spot,1,Image 1,82,1000000002,103
18563,,Spot,1,Image 1,83,1000000001,104
19448,,Spot,1,Image 1,83,1000000002,105
22583,,Spot,1,Image 1,84,1000000001,106
23995,,Spot,1,Image 1,84,1000000002,107
20150,,Spot,1,Image 1,84,1000000000,108
19930,,Spot,1,Image 1,85,1000000001,109
19792,,Spot,1,Image 1,85,1000000002,110
26388,,Spot,1,Image 1,85,1000000000,111
23418,,Spot,1,Image 1,86,1000000001,112
21537,,Spot,1,Image 1,86,1000000002,113
31601,,Spot,1,Image 1,86,1000000000,114
23102,,Spot,1,Image 1,87,1000000001,115
28372,,Spot,1,Image 1,87,1000000000,116
20615,,Spot,1,Image 1,87,1000000002,117
20541,,Spot,1,Image 1,88,1000000001,118
21202,,Spot,1,Image 1,88,1000000002,119
21024,,Spot,1,Image 1,89,1000000001,120
20175,,Spot,1,Image 1,89,1000000000,121
20435,,Spot,1,Image 1,89,1000000002,122
19545,,Spot,1,Image 1,90,1000000001,123
24141,,Spot,1,Image 1,90,1000000002,124
16286,,Spot,1,Image 1,91,1000000001,125
20310,,Spot,1,Image 1,91,1000000002,126
15332,,Spot,1,Image 1,92,1000000001,127
18217,,Spot,1,Image 1,92,1000000000,128
28010,,Spot,1,Image 1,92,1000000002,129
15424,,Spot,1,Image 1,93,1000000001,130
18495,,Spot,1,Image 1,93,1000000000,131
19198,,Spot,1,Image 1,93,1000000002,132
14751,,Spot,1,Image 1,94,1000000001,133
17259,,Spot,1,Image 1,94,1000000000,134
23596,,Spot,1,Image 1,94,1000000002,135
14959,,Spot,1,Image 1,95,1000000000,136
17609,,Spot,1,Image 1,95,1000000001,137
21872,,Spot,1,Image 1,95,1000000002,138
16655,,Spot,1,Image 1,96,1000000000,139
17071,,Spot,1,Image 1,96,1000000001,140
19481,,Spot,1,Image 1,96,1000000002,141
12777,,Spot,1,Image 1,97,1000000000,142
20336,,Spot,1,Image 1,97,1000000001,143
21724,,Spot,1,Image 1,97,1000000002,144
19133,,Spot,1,Image 1,98,1000000001,145
23815,,Spot,1,Image 1,98,1000000002,146
21569,,Spot,1,Image 1,98,1000000000,147
15356,,Spot,1,Image 1,99,1000000001,148
24590,,Spot,1,Image 1,99,1000000000,149
24242,,Spot,1,Image 1,99,1000000002,150
17522,,Spot,1,Image 1,100,1000000001,151
15907,,Spot,1,Image 1,100,1000000000,152
19892,,Spot,1,Image 1,100,1000000002,153
19263,,Spot,1,Image 1,101,1000000000,154
19555,,Spot,1,Image 1,101,1000000001,155
17350,,Spot,1,Image 1,101,1000000002,156
16315,,Spot,1,Image 1,102,1000000000,157
14272,,Spot,1,Image 1,102,1000000001,158
21591,,Spot,1,Image 1,102,1000000002,159
17728,,Spot,1,Image 1,103,1000000001,160
19778,,Spot,1,Image 1,103,1000000000,161
20281,,Spot,1,Image 1,103,1000000002,162
